Title,Genre(s),Director(s),Rating
The 51st State,"Thriller, Action, Comedy, Crime",Ronny Yu,61
The F**k-It List,Comedy,Michael Duggan,61
Heist,"Action, Crime, Thriller",Scott Mann,61
Keeping the Faith,"Comedy, Romance",Edward Norton,61
Baywatch,"Comedy, Action, Crime",Seth Gordon,61
Wyrmwood: Road of the Dead,"Horror, Action, Comedy",Kiah Roache-Turner,61
Surrogates,"Science Fiction, Action, Thriller",Jonathan Mostow,61
Cujo,"Horror, Thriller",Lewis Teague,61
1BR,"Thriller, Drama, Horror",David Marmor,61
K-9,"Action, Comedy, Crime",Rod Daniel,61
Harry and the Hendersons,"Comedy, Family, Fantasy",William Dear,61
In Darkness,"Thriller, Mystery",Anthony Byrne,61
The Night Before,"Comedy, Adventure, Fantasy",Jonathan Levine,61
The Gendarme and the Creatures from Outer Space,"Comedy, Science Fiction",Jean Girault,61
The Kid Who Would Be King,"Action, Adventure, Fantasy, Family",Joe Cornish,61
300: Rise of an Empire,"Action, Drama, War",Noam Murro,61
Sphere,"Science Fiction, Mystery, Thriller",Barry Levinson,61
We Can Be Heroes,"Family, Action, Fantasy, Comedy",Robert Rodriguez,61
Forsaken,Western,Jon Cassar,61
The Possession of Michael King,Horror,David Jung,61
Frontier(s),"Drama, Horror, Action, Thriller",Xavier Gens,61
Vivarium,"Science Fiction, Thriller, Mystery, Horror",Lorcan Finnegan,61
Fist Fight,Comedy,Richie Keen,61
Let It Snow,"Romance, Comedy",Luke Snellin,61
Final Destination 5,"Horror, Mystery",Steven Quale,61
Burke & Hare,"Comedy, Thriller, History, Horror",John Landis,61
Fantozzi Retires,Comedy,Neri Parenti,61
Wall Street: Money Never Sleeps,"Drama, Crime",Oliver Stone,61
Bug,"Drama, Horror, Thriller",William Friedkin,61
Wolf,"Fantasy, Drama, Horror, Romance",Mike Nichols,61
The Lone Ranger,"Action, Adventure, Western",Gore Verbinski,61
Valhalla Rising,"Adventure, Drama, Action, Fantasy",Nicolas Winding Refn,61
Out for Justice,"Action, Crime",John Flynn,61
Short Circuit 2,"Comedy, Family, Science Fiction, Drama",Kenneth Johnson,61
Suck Me Shakespeer 3,Comedy,Bora Dagtekin,61
He Even Has Your Eyes,Comedy,Lucien Jean-Baptiste,61
Womb,"Romance, Science Fiction",Benedek Fliegauf,61
The Cheetah Girls: One World,"Family, Comedy, Drama, Music, TV Movie",Paul Hoen,61
Fast Food Nation,"Drama, Comedy",Richard Linklater,61
Original Sin,"Thriller, Drama, Mystery, Romance",Michael Cristofer,61
The Vanishing,"Thriller, Drama, Mystery, Horror",George Sluizer,61
Just Believe,Comedy,Alessandro Aronadio,61
Adult World,Comedy,Scott Coffey,61
BASEketball,Comedy,David Zucker,61
Trouble at Timpetill,"Fantasy, Adventure, Family",Nicolas Bary,61
What Happens in Vegas,"Comedy, Romance",Tom Vaughan,61
A Man Apart,"Action, Drama",F. Gary Gray,61
A Life Less Ordinary,"Fantasy, Comedy, Romance",Danny Boyle,61
Final Score,"Action, Thriller",Scott Mann,61
ARQ,"Science Fiction, Thriller",Tony Elliott,61
And So It Goes,"Comedy, Drama, Romance",Rob Reiner,61
Crimson Rivers II: Angels of the Apocalypse,"Action, Thriller, Crime",Olivier Dahan,61
Hitman,"Action, Thriller, Drama",Xavier Gens,61
Passengers,"Drama, Mystery, Thriller, Romance",Rodrigo García,61
The Saint,"Thriller, Action, Romance, Science Fiction, Adventure",Phillip Noyce,61
Restless,"Action, Thriller, Crime",Régis Blondeau,61
Proof of Life,Thriller,Taylor Hackford,61
Daylight,"Action, Adventure, Thriller",Rob Cohen,61
Blessed Madness,"Comedy, Family",Carlo Verdone,61
American Ultra,"Comedy, Action",Nima Nourizadeh,61
The Unlikely Prince,Comedy,Alessandro Siani,61
Like Mike,"Family, Comedy, Fantasy",John Schultz,61
Vegas Vacation,Comedy,Stephen Kessler,61
The Nutcracker and the Four Realms,"Fantasy, Adventure, Family","Lasse Hallström, Joe Johnston",61
Galveston,Thriller,Mélanie Laurent,61
Haunter,"Horror, Mystery, Thriller",Vincenzo Natali,61
Love and Honor,"Drama, Romance",Danny Mooney,61
Carriers,"Action, Drama, Horror, Science Fiction, Thriller","Àlex Pastor, David Pastor",61
Them,"Horror, Thriller","David Moreau, Xavier Palud",61
Hereafter,"Drama, Fantasy",Clint Eastwood,61
Jackass 2.5,"Comedy, Documentary",Jeff Tremaine,61
Angel Eyes,"Drama, Romance, Thriller",Luis Mandoki,61
Gothika,"Horror, Thriller",Mathieu Kassovitz,61
Primeval,"Adventure, Horror",Michael Katleman,61
Newness,"Romance, Drama",Drake Doremus,61
Alien: Covenant,"Science Fiction, Horror, Mystery",Ridley Scott,61
Down with Love,"Comedy, Romance",Peyton Reed,61
Cocktail,"Romance, Drama, Comedy",Roger Donaldson,61
Eye for an Eye,"Thriller, Crime",John Schlesinger,61
Nancy Drew,"Family, Adventure, Crime, Mystery, Comedy",Andrew Fleming,61
Irresistible,"Comedy, Drama",Jon Stewart,61
Keanu,"Action, Comedy, Crime",Peter Atencio,61
Careful What You Wish For,"Drama, Thriller",Elizabeth Allen Rosenbaum,61
Above the Law,"Action, Thriller",Andrew Davis,61
Snitch,"Thriller, Drama, Action",Ric Roman Waugh,61
Final Destination 3,"Horror, Mystery",James Wong,61
Nightwatch,"Drama, Horror, Mystery, Thriller",Ole Bornedal,61
High Lane,"Action, Thriller, Horror",Abel Ferry,61
Queen of the Damned,"Drama, Fantasy, Horror",Michael Rymer,61
Runaway Bride,"Comedy, Romance",Garry Marshall,61
How to Talk to Girls at Parties,"Comedy, Music, Romance, Science Fiction",John Cameron Mitchell,61
Airplane II: The Sequel,Comedy,Ken Finkleman,61
The Trouble with You,"Comedy, Drama, Romance, Crime",Pierre Salvadori,61
Somewhere,Drama,Sofia Coppola,61
Conan the Destroyer,"Adventure, Fantasy, Action",Richard Fleischer,61
Franklyn,"Fantasy, Thriller",Gerald McMorrow,61
Mike and Dave Need Wedding Dates,Comedy,Jake Szymanski,61
3 Days to Kill,"Action, Drama, Thriller",McG,61
Grudge Match,Comedy,Peter Segal,61
Date Night,"Comedy, Action, Adventure",Shawn Levy,61
Fortress,"Action, Thriller, Science Fiction",Stuart Gordon,61
Werewolves Within,"Horror, Comedy",Josh Ruben,61
Overdrive,"Thriller, Action, Mystery",Antonio Negret,61
Cradle 2 the Grave,"Action, Crime, Drama",Andrzej Bartkowiak,61
The Brats,Comedy,Anthony Marciano,61
Double Impact,"Thriller, Action, Crime, Drama",Sheldon Lettich,61
Cars 2,"Animation, Family, Adventure, Comedy",John Lasseter,61
Ice Age: Collision Course,"Adventure, Animation, Family, Comedy, Science Fiction",Mike Thurmeier,61
Desperados,"Comedy, Romance",LP,61
The Intruder,Thriller,Deon Taylor,61
Ghost in the Shell,"Science Fiction, Drama, Action",Rupert Sanders,61
Parallels,Science Fiction,Christopher Leone,61
The Lazarus Project,"Drama, Thriller",John Glenn,61
Chloe,"Drama, Thriller, Mystery",Atom Egoyan,61
Spiral: From the Book of Saw,"Horror, Crime, Mystery",Darren Lynn Bousman,61
Point Blank,"Action, Thriller",Joe Lynch,61
Journey to the Center of the Earth,"Action, Science Fiction, Adventure, Comedy, Family",Eric Brevig,61
Kindergarten Cop,Comedy,Ivan Reitman,61
Willy's Wonderland,"Action, Horror, Comedy",Kevin Lewis,61
Transformers: The Last Knight,"Action, Adventure, Science Fiction",Michael Bay,61
So I Married an Axe Murderer,"Comedy, Crime, Romance",Thomas Schlamme,61
Ali G Indahouse,Comedy,Mark Mylod,61
The Paramedic,Thriller,Carles Torras,61
Anna and the Apocalypse,"Horror, Comedy, Fantasy",John McPhail,61
The Bronze,"Drama, Comedy",Bryan Buckley,61
The Perfect Man,"Comedy, Drama, Family, Romance",Mark Rosman,61
Murder at 1600,"Action, Drama, Mystery, Thriller, Crime",Dwight H. Little,61
Spooks: The Greater Good,"Thriller, Action",Bharat Nalluri,61
Tower Heist,"Action, Comedy",Brett Ratner,61
Never Say Never Again,"Adventure, Action, Thriller",Irvin Kershner,61
Tarzan II,"Adventure, Animation, Family",Brian Smith,61
Below,"Thriller, Horror, Mystery",David Twohy,61
The SpongeBob Movie: Sponge Out of Water,"Family, Adventure, Comedy, Fantasy, Animation","Paul Tibbitt, Mike Mitchell",61
The Woman,"Drama, Horror",Lucky McKee,61
Relic,"Horror, Drama, Mystery, Thriller",Natalie Erika James,61
All the Old Knives,"Thriller, Action",Janus Metz,61
Maniac,Horror,Franck Khalfoun,61
Red State,"Horror, Action, Thriller",Kevin Smith,61
Two for the Money,"Comedy, Crime, Drama, Thriller",D. J. Caruso,61
Bad Trip,Comedy,Kitao Sakurai,61
Return,,,61
God's Not Dead,Drama,Harold Cronk,61
Inferno,"Mystery, Thriller, Drama, Action",Ron Howard,61
The Pacifier,"Comedy, Family, Action",Adam Shankman,61
The Tailor of Panama,"Drama, Thriller",John Boorman,61
Whatsoeverly,Comedy,Giulio Manfredonia,61
The Fox and the Hound 2,"Adventure, Animation, Comedy, Family",Jim Kammerud,61
A Walk in the Woods,"Adventure, Comedy, Drama",Ken Kwapis,61
Mars Needs Moms,"Adventure, Animation, Family",Simon Wells,61
Devil,"Horror, Mystery, Thriller",John Erick Dowdle,61
The Birth of a Nation,"Drama, History, War",D.W. Griffith,61
Candyman,"Horror, Mystery, Thriller",Nia DaCosta,61
Sleepwalkers,"Horror, Fantasy, Thriller",Mick Garris,61
The Waterboy,Comedy,Frank Coraci,61
Cat People,"Horror, Fantasy, Thriller",Paul Schrader,61
Life,Drama,Anton Corbijn,61
Attack on Titan,"Horror, Fantasy, Action, Science Fiction",Shinji Higuchi,61
Scooby-Doo,"Mystery, Adventure, Comedy",Raja Gosnell,61
Resident Evil: Welcome to Raccoon City,"Horror, Science Fiction, Action",Johannes Roberts,61
The Adventures of Buckaroo Banzai Across the 8th Dimension,"Science Fiction, Comedy, Adventure, Romance",W.D. Richter,61
Tequila Sunrise,"Crime, Romance, Thriller",Robert Towne,61
The Scarlet Letter,"Drama, Romance, Western",Roland Joffé,60
Cobra,"Action, Crime, Thriller",George P. Cosmatos,60
Six Days Seven Nights,"Adventure, Action, Comedy, Romance",Ivan Reitman,60
6 Souls,"Horror, Mystery, Thriller","Måns Mårlind, Björn Stein",60
Going the Distance,"Comedy, Drama, Romance",Nanette Burstein,60
Evolution,"Comedy, Science Fiction, Action",Ivan Reitman,60
Resident Evil: Afterlife,"Action, Adventure, Horror, Science Fiction",Paul W. S. Anderson,60
Hotel for Dogs,"Comedy, Family",Thor Freudenthal,60
Orange County,"Comedy, Drama",Jake Kasdan,60
Jennifer Eight,"Crime, Drama, Mystery, Thriller",Bruce Robinson,60
Police Academy 2: Their First Assignment,"Comedy, Crime",Jerry Paris,60
First Knight,"Action, Adventure, Drama, Romance",Jerry Zucker,60
The Takedown,"Comedy, Action",Louis Leterrier,60
Replicas,"Science Fiction, Thriller, Drama",Jeffrey Nachmanoff,60
The Virtuoso,"Thriller, Crime",Nick Stagliano,60
Our Kind of Traitor,Thriller,Susanna White,60
Erased,"Action, Thriller",Philipp Stölzl,60
Desire,"Drama, Romance",Laurent Bouhnik,60
Gabriel,"Fantasy, Horror, Action, Science Fiction",Shane Abbess,60
The Wretched,"Horror, Mystery, Thriller","Brett Pierce, Drew T. Pierce",60
Heartbreakers,"Comedy, Romance, Crime",David Mirkin,60
Tremors: A Cold Day in Hell,"Action, Adventure, Science Fiction, Fantasy, Comedy, Horror",Don Michael Paul,60
The Golden Compass,"Adventure, Fantasy",Chris Weitz,60
The Desperate Hour,Thriller,Phillip Noyce,60
Killing Them Softly,"Crime, Thriller",Andrew Dominik,60
Death Race 2000,"Action, Comedy, Science Fiction",Paul Bartel,60
Dracula: Dead and Loving It,"Comedy, Horror, Fantasy",Mel Brooks,60
Mississippi Grind,"Comedy, Drama","Ryan Fleck, Anna Boden",60
The Love Punch,"Comedy, Romance, Drama",Joel Hopkins,60
The Tale of Despereaux,"Adventure, Animation, Family","Sam Fell, Robert Stevenhagen",60
I'm Still Here,"Music, Comedy, Drama",Casey Affleck,60
Wrong Turn 2: Dead End,"Horror, Thriller",Joe Lynch,60
End of Days,"Action, Fantasy, Horror, Mystery",Peter Hyams,60
Money Talks,"Comedy, Action",Brett Ratner,60
Terminator Salvation,"Action, Science Fiction, Thriller",McG,60
The Queen's Corgi,"Family, Animation","Vincent Kesteloot, Ben Stassen",60
Dark Shadows,"Comedy, Fantasy",Tim Burton,60
Crank: High Voltage,"Action, Thriller, Crime","Mark Neveldine, Brian Taylor",60
Mimic,"Fantasy, Horror, Thriller, Science Fiction",Guillermo del Toro,60
Topaz,"Drama, Thriller",Alfred Hitchcock,60
Poor but Rich,Comedy,Fausto Brizzi,60
Paranormal Activity: Tokyo Night,"Horror, Thriller",Toshikazu Nagae,60
Desperately Seeking Susan,"Comedy, Crime",Susan Seidelman,60
Lonely Hearts,"Drama, Thriller, Crime, Romance",Todd Robinson,60
The Courier,"Action, Thriller",Zackary Adler,60
Man of Tai Chi,"Action, Drama",Keanu Reeves,60
Into the Storm,"Action, Thriller",Steven Quale,60
Sharpay's Fabulous Adventure,"Family, Music",Michael Lembeck,60
Fantozzi to the Rescue,Comedy,Neri Parenti,60
The Crazies,"Thriller, Science Fiction, Action, Horror",George A. Romero,60
Village of the Damned,"Thriller, Horror, Science Fiction",John Carpenter,60
Freddy vs. Jason,Horror,Ronny Yu,60
Hypnotic,"Thriller, Drama, Horror","Suzanne Coote, Matt Angel",60
Midnight in the Switchgrass,"Crime, Mystery, Thriller, Action",Randall Emmett,60
The Monuments Men,"War, Drama, History, Action",George Clooney,60
Stuart Little,"Family, Fantasy, Comedy, Adventure",Rob Minkoff,60
Krull,"Action, Adventure, Fantasy, Science Fiction",Peter Yates,60
Color Out of Space,"Mystery, Science Fiction, Thriller",Richard Stanley,60
Leaves of Grass,"Comedy, Crime, Thriller",Tim Blake Nelson,60
Tin Cup,"Comedy, Romance",Ron Shelton,60
Broken Arrow,"Action, Thriller, Adventure",John Woo,60
The Peacemaker,"Action, Thriller",Mimi Leder,60
Next,"Action, Science Fiction, Thriller",Lee Tamahori,60
The Silence,"Horror, Drama, Thriller, Fantasy",John R. Leonetti,60
Wonderstruck,Drama,Todd Haynes,60
The Fifth Estate,"Drama, Thriller",Bill Condon,60
Scooby-Doo 2: Monsters Unleashed,"Mystery, Fantasy, Adventure, Comedy",Raja Gosnell,60
The Night Eats the World,"Drama, Horror, Thriller",Dominique Rocher,60
Carrie,"Drama, Horror",Kimberly Peirce,60
The Heir Apparent: Largo Winch,"Adventure, Drama, Action, Thriller",Jérôme Salle,60
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Science Fiction, Adventure, Action, Comedy, Family",Michael Pressman,60
Tracers,Action,Daniel Benmayor,60
The Gendarme and the Gendarmettes,Comedy,"Jean Girault, Tony Aboyantz",60
The Woman in the Window,"Drama, Crime, Mystery, Thriller",Joe Wright,60
Circle,"Science Fiction, Mystery, Drama, Thriller, Horror","Mario Miscione, Aaron Hann",60
Home on the Range,"Animation, Family","Will Finn, John Sanford",60
Halloween H20: 20 Years Later,"Horror, Thriller",Steve Miner,60
I Now Pronounce You Chuck & Larry,"Comedy, Romance",Dennis Dugan,60
Blind Date,"Comedy, Romance",Blake Edwards,60
What to Expect When You're Expecting,"Romance, Comedy, Drama",Kirk Jones,60
Didier,Comedy,Alain Chabat,60
Firefox,"Science Fiction, Action, Adventure, Thriller",Clint Eastwood,60
Hotel Artemis,"Thriller, Science Fiction, Action",Drew Pearce,60
The Rewrite,"Romance, Comedy",Marc Lawrence,60
Eraser,"Action, Drama, Mystery, Thriller",Chuck Russell,60
Bedazzled,"Fantasy, Comedy, Romance",Harold Ramis,60
The Escort,"Drama, Comedy, Romance",Will Slocombe,60
6 Days,"Action, Drama, History, Thriller",Toa Fraser,60
All Good Things,"Mystery, Thriller, Romance",Andrew Jarecki,60
Celebrity,"Drama, Comedy",Woody Allen,60
The Possession,"Horror, Thriller",Ole Bornedal,60
Good Burger,"Family, Comedy",Brian Robbins,60
The Shadow,"Adventure, Fantasy, Action, Thriller, Science Fiction",Russell Mulcahy,60
Yamakasi,"Action, Crime, Drama","Julien Seri, Ariel Zeitoun",60
Transcendence,"Thriller, Science Fiction, Drama, Mystery",Wally Pfister,60
Percy Jackson: Sea of Monsters,"Adventure, Family, Fantasy",Thor Freudenthal,60
Hansel & Gretel: Witch Hunters,"Fantasy, Horror, Action",Tommy Wirkola,60
Hot Tub Time Machine,"Science Fiction, Comedy, Adventure",Steve Pink,60
Cleaner,"Crime, Thriller, Mystery",Renny Harlin,60
The Final Cut,"Drama, Mystery, Science Fiction, Thriller",Omar Naim,60
The Gate,"Horror, Fantasy",Tibor Takács,60
Lovelace,Drama,"Jeffrey Friedman, Rob Epstein",60
The Visitors II: The Corridors of Time,"Comedy, Fantasy",Jean-Marie Poiré,60
Starry Eyes,"Horror, Drama","Kevin Kölsch, Dennis Widmyer",60
Casper Meets Wendy,"Family, Fantasy, TV Movie",Sean McNamara,60
Shark Tale,"Animation, Action, Comedy, Family","Rob Letterman, Vicky Jenson, Bibo Bergeron",60
Lions for Lambs,"Action, Adventure, Drama, History",Robert Redford,60
Stuck Together,Comedy,Dany Boon,60
The Last Summer,"Romance, Comedy",William Bindley,60
I Love You in Every Language in the World,"Romance, Comedy",Leonardo Pieraccioni,60
Black Sheep,Comedy,Penelope Spheeris,60
Ned Kelly,"Action, Adventure, Drama, History",Gregor Jordan,60
Despite Everything,Comedy,Gabriela Tagliavini,60
The Laundromat,"Drama, Crime, Comedy",Steven Soderbergh,60
Love Is in the Air,"Comedy, Romance",Alexandre Castagnetti,60
Sanctum,"Action, Thriller",Alister Grierson,60
Neuilly Yo Mama!,Comedy,Gabriel Julien-Laferrière,60
Tarzan & Jane,"Animation, Family","Lisa Schaffer, Steve Loter, Victor Cook, Don MacKinnon",60
Problem Child,"Comedy, Family",Dennis Dugan,60
Poltergeist II: The Other Side,"Horror, Thriller",Brian Gibson,60
Dark Star,"Comedy, Science Fiction",John Carpenter,60
Zoe,"Science Fiction, Romance, Thriller",Drake Doremus,60
Little Nicholas,Comedy,Laurent Tirard,60
Marked for Death,"Action, Crime",Dwight H. Little,60
Bandidas,"Action, Comedy, Western, Crime","Joachim Rønning, Espen Sandberg",60
Up for Love,"Comedy, Romance, Drama",Laurent Tirard,60
Kidnapping Mr. Heineken,"Drama, Action, Crime, Thriller, Mystery",Daniel Alfredson,60
Sleepover,"Family, Comedy",Joe Nussbaum,60
Parker,"Action, Crime",Taylor Hackford,60
Friends with Kids,"Comedy, Romance",Jennifer Westfeldt,60
The Condemned,"Action, Thriller",Scott Wiper,60
The Rocker,"Comedy, Music",Peter Cattaneo,60
Voyagers,"Science Fiction, Thriller",Neil Burger,60
Waiting for the Barbarians,"Drama, History",Ciro Guerra,60
Extinction,"Action, Drama, Science Fiction, Thriller",Ben Young,60
Alvin and the Chipmunks: The Road Chip,"Adventure, Animation, Comedy, Family",Walt Becker,60
About Last Night,"Comedy, Romance",Steve Pink,60
A Very Harold & Kumar Christmas,Comedy,Todd Strauss-Schulson,60
The Cheetah Girls,"Family, Comedy, Drama, Music, TV Movie",Oz Scott,60
A Score to Settle,"Action, Thriller, Drama",Shawn Ku,60
Eli,Horror,Ciarán Foy,60
Berlin Syndrome,"Mystery, Thriller, Drama, Horror",Cate Shortland,60
Wilson,"Comedy, Drama",Craig Johnson,60
The Tuche Family,Comedy,Olivier Baroux,60
The Arrival,"Science Fiction, Thriller",David Twohy,60
XOXO,"Music, Drama",Christopher Louie,60
Get Hard,Comedy,Etan Cohen,60
Beyond Re-Animator,"Comedy, Horror, Science Fiction",Brian Yuzna,60
Cry Macho,"Drama, Western",Clint Eastwood,60
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy, Family, Science Fiction",Dave Green,60
A Million Ways to Die in the West,"Comedy, Western",Seth MacFarlane,60
The Last Kiss,"Comedy, Drama, Romance",Tony Goldwyn,60
Bee Movie,"Family, Animation, Adventure, Comedy","Steve Hickner, Simon J. Smith",60
Stand Up Guys,"Thriller, Comedy, Action",Fisher Stevens,60
Antitrust,"Action, Crime, Drama",Peter Howitt,60
